Name,Rating,City,Latitude,Longitude,Opening Hours
La Cordonnerie,4.7,Paris,48.8652332,2.3505363,"Monday: 4:00PM - 2:00AM, Tuesday: 4:00PM - 2:00AM, Wednesday: 4:00PM - 2:00AM, Thursday: 4:00PM - 2:00AM, Friday: 4:00PM - 2:00AM, Saturday: 4:00PM - 2:00AM, Sunday: 4:00PM - 2:00AM"
Sacré Frenchy !,4.7,Paris,48.8632396,2.3511546,"Monday: Closed, Tuesday: 11:30AM - 2:00AM, Wednesday: 11:30AM - 2:00AM, Thursday: 11:30AM - 2:00AM, Friday: 11:30AM - 2:00AM, Saturday: 10:00AM - 2:00AM, Sunday: 11:45AM - 10:30PM"
Grenouilles,4.8,Paris,48.8870559,2.3417822,"Monday: 9:30AM - 10:00PM, Tuesday: 9:30AM - 10:00PM, Wednesday: 9:30AM - 10:00PM, Thursday: 9:30AM - 10:00PM, Friday: 9:30AM - 11:00PM, Saturday: 9:00AM - 11:00PM, Sunday: 9:00AM - 10:30PM"
Le Jardin du Petit Palais,3.9,Paris,48.8655432,2.314571,"Monday: Closed, Tuesday: 10:00AM - 5:15PM, Wednesday: 10:00AM - 5:15PM, Thursday: 10:00AM - 5:15PM, Friday: 10:00AM - 7:15PM, Saturday: 10:00AM - 7:15PM, Sunday: 10:00AM - 5:15PM"
La Régalade,4.4,Paris,48.8616807,2.3420098,"Monday: Closed, Tuesday: 12:15 - 2:30PM, 7:15 - 10:15PM, Wednesday: 12:15 - 2:30PM, 7:15 - 10:15PM, Thursday: 12:15 - 2:30PM, 7:15 - 10:15PM, Friday: 12:15 - 2:30PM, 7:15 - 11:00PM, Saturday: 12:15 - 2:30PM, 7:15 - 11:00PM, Sunday: Closed"
Happy Caffé,4.9,Paris,48.8646927,2.3296897,"Monday: 7:30AM - 10:30PM, Tuesday: 7:30AM - 10:30PM, Wednesday: 7:30AM - 10:30PM, Thursday: 7:30AM - 10:30PM, Friday: 7:30AM - 10:30PM, Saturday: 7:30AM - 10:30PM, Sunday: 7:30AM - 10:30PM"
Anticafé,4.5,Paris,45.76623540000001,4.835277299999999,"Monday: 8:30AM - 10:00PM, Tuesday: 8:30AM - 10:00PM, Wednesday: 8:30AM - 10:00PM, Thursday: 8:30AM - 10:00PM, Friday: 8:30AM - 10:00PM, Saturday: 9:30AM - 9:30PM, Sunday: 9:30AM - 9:30PM"
Le Relais de l’Entrecôte,4.1,Paris,48.868142,2.3027971,"Monday: 12:00 - 2:30PM, 6:45 - 11:00PM, Tuesday: 12:00 - 2:30PM, 6:45 - 11:00PM, Wednesday: 12:00 - 2:30PM, 6:45 - 11:00PM, Thursday: 12:00 - 2:30PM, 6:45 - 11:00PM, Friday: 12:00 - 2:30PM, 6:45 - 11:00PM, Saturday: 12:00 - 3:00PM, 6:45 - 11:00PM, Sunday: 12:00 - 3:00PM, 6:45 - 11:00PM"
Gambino,4.3,Paris,-22.93002,-43.1771714,"Monday: 11:00AM - 12:00AM, Tuesday: 11:00AM - 12:00AM, Wednesday: 11:00AM - 12:00AM, Thursday: 11:00AM - 12:00AM, Friday: 11:00AM - 12:00AM, Saturday: 11:00AM - 12:00AM, Sunday: 11:00AM - 12:00AM"
Odette,4.8,Paris,-33.927451,18.4130126,"Monday: 10:00AM - 5:00PM, Tuesday: 10:00AM - 5:00PM, Wednesday: 10:00AM - 5:00PM, Thursday: 10:00AM - 5:00PM, Friday: 10:00AM - 5:00PM, Saturday: Closed, Sunday: Closed"
Le Boui Boui,4.4,Paris,48.8649864,2.3476219,"Monday: Closed, Tuesday: 9:00AM - 2:30PM, 6:00PM - 1:00AM, Wednesday: 9:00AM - 2:30PM, 6:00PM - 1:00AM, Thursday: 9:00AM - 2:30PM, 6:00PM - 1:00AM, Friday: 9:00AM - 2:30PM, 6:00PM - 1:00AM, Saturday: 9:00AM - 2:30PM, 6:00PM - 1:00AM, Sunday: Closed"
Frenchie Restaurant,4.4,Paris,-33.7291824,18.9728127,"Monday: 7:30AM - 6:00PM, Tuesday: 7:30AM - 6:00PM, Wednesday: 7:30AM - 6:00PM, Thursday: 7:30AM - 6:00PM, Friday: 7:30AM - 6:00PM, Saturday: 8:00AM - 4:00PM, Sunday: 9:00AM - 2:00PM"
La Seine Café,4.8,Paris,48.85006009999999,2.368764199999999,"Monday: 9:00AM - 2:00AM, Tuesday: 9:00AM - 2:00AM, Wednesday: 9:00AM - 2:00AM, Thursday: 9:00AM - 2:00AM, Friday: 9:00AM - 2:00AM, Saturday: 10:00AM - 2:00AM, Sunday: 10:00AM - 12:00AM"
Pain Vin Fromages,4.4,Paris,48.8605157,2.3545076,"Monday: Closed, Tuesday: Closed, Wednesday: 12:00PM - 12:00AM, Thursday: 12:00PM - 12:00AM, Friday: 12:00PM - 12:00AM, Saturday: 12:00PM - 12:00AM, Sunday: 12:00PM - 12:00AM"
La Grange aux Canards,4.7,Paris,48.8505845,2.3490061,"Monday: Closed, Tuesday: Closed, Wednesday: 6:00 - 10:30PM, Thursday: 6:00 - 10:30PM, Friday: 6:00 - 10:30PM, Saturday: 12:00 - 2:00PM, 6:00 - 10:30PM, Sunday: 6:00 - 10:30PM"
Chez le Libanais,4.5,Paris,48.85327270000001,2.3416153,"Monday: 11:00AM - 11:00PM, Tuesday: 11:00AM - 11:00PM, Wednesday: 11:00AM - 11:00PM, Thursday: 11:00AM - 11:50PM, Friday: 11:00AM - 11:50PM, Saturday: 11:00AM - 11:50PM, Sunday: 11:00AM - 11:00PM"
Café Louise,4.3,Paris,48.8538173,2.3321329,"Monday: 7:00AM - 2:00AM, Tuesday: 7:00AM - 2:00AM, Wednesday: 7:00AM - 2:00AM, Thursday: 7:00AM - 2:00AM, Friday: 7:00AM - 2:00AM, Saturday: 7:00AM - 2:00AM, Sunday: 7:00AM - 2:00AM"
Claus - La Table du Petit-Déjeuner,4.3,Paris,48.862525,2.3404111,
Le Machon,4.8,Paris,48.8519431,2.3344567,"Monday: 12:00 - 2:30PM, 7:00 - 11:00PM, Tuesday: 12:00 - 2:30PM, 7:00 - 11:00PM, Wednesday: 12:00 - 2:30PM, 7:00 - 11:00PM, Thursday: 12:00 - 2:30PM, 7:00 - 11:00PM, Friday: 12:00 - 2:30PM, 7:00 - 11:00PM, Saturday: 12:00 - 2:30PM, 7:00 - 11:00PM, Sunday: 12:00 - 2:30PM, 7:00 - 11:00PM"
Le Comptoir,4.4,Paris,43.6002164,3.899293699999999,"Monday: 10:00AM - 12:00AM, Tuesday: 10:00AM - 12:00AM, Wednesday: 10:00AM - 12:00AM, Thursday: 10:00AM - 12:00AM, Friday: 10:00AM - 12:00AM, Saturday: 10:00AM - 12:00AM, Sunday: 10:00AM - 12:00AM"
Le Machon,4.8,Paris,48.8519431,2.3344567,"Monday: 12:00 - 2:30PM, 7:00 - 11:00PM, Tuesday: 12:00 - 2:30PM, 7:00 - 11:00PM, Wednesday: 12:00 - 2:30PM, 7:00 - 11:00PM, Thursday: 12:00 - 2:30PM, 7:00 - 11:00PM, Friday: 12:00 - 2:30PM, 7:00 - 11:00PM, Saturday: 12:00 - 2:30PM, 7:00 - 11:00PM, Sunday: 12:00 - 2:30PM, 7:00 - 11:00PM"
Le Comptoir,4.4,Paris,43.6002164,3.899293699999999,"Monday: 10:00AM - 12:00AM, Tuesday: 10:00AM - 12:00AM, Wednesday: 10:00AM - 12:00AM, Thursday: 10:00AM - 12:00AM, Friday: 10:00AM - 12:00AM, Saturday: 10:00AM - 12:00AM, Sunday: 10:00AM - 12:00AM"
Le Relais de l’Entrecôte,4.0,Paris,48.868142,2.3027971,"Monday: 12:00 - 2:30PM, 6:45 - 11:00PM, Tuesday: 12:00 - 2:30PM, 6:45 - 11:00PM, Wednesday: 12:00 - 2:30PM, 6:45 - 11:00PM, Thursday: 12:00 - 2:30PM, 6:45 - 11:00PM, Friday: 12:00 - 2:30PM, 6:45 - 11:00PM, Saturday: 12:00 - 3:00PM, 6:45 - 11:00PM, Sunday: 12:00 - 3:00PM, 6:45 - 11:00PM"
Le Bistro Lyonnais,4.4,Paris,48.8466212,2.3740311,"Monday: 9:00AM - 10:00PM, Tuesday: 9:00AM - 10:00PM, Wednesday: 9:00AM - 10:00PM, Thursday: 9:00AM - 10:00PM, Friday: 9:00AM - 10:00PM, Saturday: 9:00AM - 10:00PM, Sunday: 9:00AM - 10:00PM"
Marcelle,5.0,Paris,-33.823467,18.655532,
La Poule au Pot,4.2,Paris,48.8618061,2.3432436,"Monday: Closed, Tuesday: 12:00 - 2:00PM, 7:00 - 11:00PM, Wednesday: 12:00 - 2:00PM, 7:00 - 11:00PM, Thursday: 12:00 - 2:00PM, 7:00 - 11:00PM, Friday: 12:00 - 2:00PM, 7:00 - 11:00PM, Saturday: 12:00 - 2:00PM, 7:00 - 11:00PM, Sunday: Closed"
Shakespeare and Company,4.5,Paris,48.8525632,2.347130299999999,"Monday: 10:00AM - 8:00PM, Tuesday: 10:00AM - 8:00PM, Wednesday: 10:00AM - 8:00PM, Thursday: 10:00AM - 8:00PM, Friday: 10:00AM - 8:00PM, Saturday: 10:00AM - 8:00PM, Sunday: 12:00 - 7:00PM"
La Consigne,4.3,Paris,48.8461892,2.3724639,"Monday: 7:00AM - 10:00PM, Tuesday: 7:00AM - 10:00PM, Wednesday: 7:00AM - 10:00PM, Thursday: 7:00AM - 10:00PM, Friday: 7:00AM - 10:00PM, Saturday: 7:00AM - 10:00PM, Sunday: 7:00AM - 10:00PM"
Le Bistro du Périgord,4.5,Paris,48.84987899999999,2.3451762,"Monday: 7:00AM - 10:30PM, Tuesday: 7:00AM - 10:30PM, Wednesday: 7:00AM - 10:30PM, Thursday: 7:00AM - 10:30PM, Friday: 7:00AM - 10:30PM, Saturday: 7:00AM - 10:30PM, Sunday: Closed"
Comptoir des Frangins,4.7,Paris,48.84296870000001,2.2434933,"Monday: 7:30AM - 11:00PM, Tuesday: 7:30AM - 11:00PM, Wednesday: 7:30AM - 11:00PM, Thursday: 7:30AM - 11:00PM, Friday: 7:30AM - 11:00PM, Saturday: 9:00AM - 11:00PM, Sunday: Closed"
Poulette,4.3,Paris,48.8633944,2.3503742,"Monday: 6:30 - 11:00PM, Tuesday: 6:30 - 11:00PM, Wednesday: 6:30 - 11:00PM, Thursday: 6:30 - 11:00PM, Friday: 6:30 - 11:00PM, Saturday: 6:30 - 11:00PM, Sunday: 6:30 - 11:00PM"
Ober Mamma,4.3,Paris,48.86445089999999,2.3701427,"Monday: 12:00 - 2:30PM, 6:45 - 10:45PM, Tuesday: 12:00 - 2:30PM, 6:45 - 10:45PM, Wednesday: 12:00 - 2:30PM, 6:45 - 10:45PM, Thursday: 12:00 - 2:30PM, 6:30 - 11:00PM, Friday: 12:00 - 2:30PM, 6:30 - 11:00PM, Saturday: 12:00 - 3:30PM, 6:30 - 11:00PM, Sunday: 12:00 - 3:30PM, 6:45 - 10:45PM"
Le Comptoir,3.8,Paris,43.6002164,3.899293699999999,"Monday: 10:00AM - 12:00AM, Tuesday: 10:00AM - 12:00AM, Wednesday: 10:00AM - 12:00AM, Thursday: 10:00AM - 12:00AM, Friday: 10:00AM - 12:00AM, Saturday: 10:00AM - 12:00AM, Sunday: 10:00AM - 12:00AM"
Le Café,4.3,Paris,-33.832528,18.685428,"Monday: 8:00AM - 5:30PM, Tuesday: 8:00AM - 5:30PM, Wednesday: 8:00AM - 5:30PM, Thursday: 8:00AM - 5:30PM, Friday: 8:00AM - 5:30PM, Saturday: 8:00AM - 3:00PM, Sunday: 9:00AM - 3:00PM"
Le Roi de Pique,4.4,Paris,48.8633934,2.3583739,"Monday: 7:00AM - 2:00AM, Tuesday: 7:00AM - 2:00AM, Wednesday: 7:00AM - 2:00AM, Thursday: 7:00AM - 2:00AM, Friday: 7:00AM - 2:00AM, Saturday: 9:00AM - 2:00AM, Sunday: 10:00AM - 8:00PM"
L’îlot,4.5,Paris,48.86476469999999,2.363403099999999,"Monday: Closed, Tuesday: 7:00 - 10:30PM, Wednesday: 7:00 - 10:30PM, Thursday: 7:00 - 10:30PM, Friday: 7:00 - 11:00PM, Saturday: 7:00 - 11:00PM, Sunday: Closed"
Chez Paul,5.0,Paris,48.85282000000001,2.374342,"Monday: 12:00PM - 12:30AM, Tuesday: 12:00PM - 12:30AM, Wednesday: 12:00PM - 12:30AM, Thursday: 12:00PM - 12:30AM, Friday: 12:00PM - 12:30AM, Saturday: 12:00PM - 12:30AM, Sunday: 12:00PM - 12:30AM"
L’Abreuvoir,4.3,Paris,48.8519379,2.2889287,"Monday: 8:00AM - 11:30PM, Tuesday: 8:00AM - 11:30PM, Wednesday: 8:00AM - 11:30PM, Thursday: 8:00AM - 11:30PM, Friday: 8:00AM - 11:30PM, Saturday: 8:00AM - 11:30PM, Sunday: 9:00AM - 11:30PM"
Café de la Régence,4.1,Paris,48.8635668,2.334513,"Monday: 7:00AM - 2:00AM, Tuesday: 7:00AM - 2:00AM, Wednesday: 7:00AM - 2:00AM, Thursday: 7:00AM - 2:00AM, Friday: 7:00AM - 2:00AM, Saturday: 7:00AM - 2:00AM, Sunday: 7:00AM - 2:00AM"
Opium la Cabane,4.8,Paris,48.8541513,2.3387211,"Monday: 12:00 - 11:00PM, Tuesday: 12:00 - 11:00PM, Wednesday: 12:00 - 11:00PM, Thursday: 12:00 - 11:00PM, Friday: 12:00 - 11:30PM, Saturday: 12:00 - 11:30PM, Sunday: 12:00 - 11:30PM"
Le Petit Opportun,4.8,Paris,-33.911585,19.1229291,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours"
CoCo,4.1,Paris,-33.92103,18.4193,"Monday: Closed, Tuesday: Closed, Wednesday: Closed, Thursday: Closed, Friday: 10:00PM - 4:00AM, Saturday: 10:00PM - 4:00AM, Sunday: 10:00PM - 4:00AM"
Le Bistrot D Eustache,3.9,Paris,48.8618491,2.343584700000001,
Freddy’s,4.7,Paris,-33.9154314,18.4181623,"Monday: 9:00AM - 5:00PM, Tuesday: 9:00AM - 5:00PM, Wednesday: 9:00AM - 5:00PM, Thursday: 9:00AM - 5:00PM, Friday: 9:00AM - 5:00PM, Saturday: 9:00AM - 5:00PM, Sunday: 10:00AM - 2:00PM"
Au Bourguignon du Marais,4.2,Paris,48.8554413,2.357582799999999,"Monday: 12:00 - 11:00PM, Tuesday: 12:00 - 11:00PM, Wednesday: 12:00 - 11:00PM, Thursday: 12:00 - 11:00PM, Friday: 12:00 - 11:30PM, Saturday: 12:00 - 11:30PM, Sunday: 12:00 - 11:00PM"
1995,4.8,Paris,,,N/A
20 Eiffel,4.5,Paris,48.859478,2.298476,"Monday: Closed, Tuesday: 12:00 - 2:00PM, 7:00 - 9:30PM, Wednesday: 12:00 - 2:00PM, 7:00 - 9:30PM, Thursday: 12:00 - 2:00PM, 7:00 - 9:30PM, Friday: 12:00 - 2:00PM, 7:00 - 9:30PM, Saturday: 12:00 - 2:00PM, 7:00 - 10:00PM, Sunday: Closed"
Le Coq & Fils - The Poultry House,4.4,Paris,48.8871994,2.337184399999999,"Monday: 12:00 - 3:00PM, 7:00 - 11:30PM, Tuesday: 12:00 - 3:00PM, 7:00 - 11:30PM, Wednesday: 12:00 - 3:00PM, 7:00 - 11:30PM, Thursday: 12:00 - 3:00PM, 7:00 - 11:30PM, Friday: 12:00 - 3:00PM, 7:00 - 11:30PM, Saturday: 12:00 - 3:00PM, 7:00 - 11:30PM, Sunday: 12:00 - 3:00PM, 7:00 - 11:30PM"
Chez Fernand,4.3,Paris,48.8518468,2.3344106,"Monday: Closed, Tuesday: 12:00 - 2:30PM, 7:00 - 11:00PM, Wednesday: 12:00 - 2:30PM, 7:00 - 11:00PM, Thursday: 12:00 - 2:30PM, 7:00 - 11:00PM, Friday: 12:00 - 2:30PM, 7:00 - 11:00PM, Saturday: 12:00 - 2:30PM, 7:00 - 11:30PM, Sunday: 12:00 - 2:30PM, 7:00 - 11:00PM"
Le Bon Pêcheur,3.9,Paris,48.8619867,2.3484394,"Monday: 8:00AM - 12:00AM, Tuesday: 8:00AM - 12:00AM, Wednesday: 8:00AM - 12:00AM, Thursday: 8:00AM - 12:00AM, Friday: 8:00AM - 12:00AM, Saturday: 8:00AM - 12:00AM, Sunday: 8:00AM - 12:00AM"
BREIZH Café Montorgueil | La Crêpe Autrement,4.9,Paris,48.8669047,2.347405600000001,"Monday: 11:30AM - 10:30PM, Tuesday: 11:30AM - 10:30PM, Wednesday: 11:30AM - 10:30PM, Thursday: 11:30AM - 10:30PM, Friday: 11:30AM - 11:00PM, Saturday: 11:30AM - 11:00PM, Sunday: 11:30AM - 10:30PM"
Le Relais du Louvre,4.2,Paris,48.85924579999999,2.341004799999999,
The Frog & Underground,4.4,Paris,48.8710315,2.3431093,"Monday: 12:00PM - 12:00AM, Tuesday: 12:00PM - 1:30AM, Wednesday: 12:00PM - 1:30AM, Thursday: 12:00PM - 2:00AM, Friday: 12:00PM - 5:00AM, Saturday: 12:00PM - 5:00AM, Sunday: 12:00PM - 12:00AM"
Brasserie Dubillot,4.0,Paris,48.8680791,2.3519853,"Monday: 9:00AM - 12:00AM, Tuesday: 9:00AM - 12:00AM, Wednesday: 9:00AM - 12:00AM, Thursday: 9:00AM - 12:00AM, Friday: 9:00AM - 12:00AM, Saturday: 9:00AM - 12:00AM, Sunday: 9:00AM - 12:00AM"
La Mascotte,4.5,Paris,48.86514100000001,2.3005457,"Monday: 7:00AM - 1:30AM, Tuesday: 7:00AM - 1:30AM, Wednesday: 7:00AM - 1:30AM, Thursday: 7:00AM - 1:30AM, Friday: 7:00AM - 1:30AM, Saturday: 7:00AM - 1:30AM, Sunday: 8:00AM - 1:30AM"
Bistrot Richelieu,4.2,Paris,48.8662086,2.3370134,"Monday: 8:00AM - 11:00PM, Tuesday: 8:00AM - 11:00PM, Wednesday: 8:00AM - 11:00PM, Thursday: 8:00AM - 11:00PM, Friday: 8:00AM - 11:00PM, Saturday: 9:00AM - 11:00PM, Sunday: 9:00AM - 6:00PM"
Baltard au Louvre,3.6,Paris,48.86341119999999,2.342716900000001,"Monday: 9:00AM - 11:00PM, Tuesday: 9:00AM - 11:00PM, Wednesday: 9:00AM - 11:00PM, Thursday: 9:00AM - 11:00PM, Friday: 9:00AM - 11:00PM, Saturday: 9:00AM - 11:00PM, Sunday: 9:00AM - 6:00PM"
Le P’tit Bistro,4.7,Paris,48.8575531,2.349636300000001,"Monday: 7:00AM - 11:00PM, Tuesday: 7:00AM - 11:00PM, Wednesday: 7:00AM - 11:00PM, Thursday: 7:00AM - 11:00PM, Friday: 7:00AM - 11:00PM, Saturday: 7:00AM - 11:00PM, Sunday: 7:00AM - 11:00PM"
